"DateTime","Depth","period","type","var","value","scenario"
2015-12-12,"0.1","calib","mod","wl",10.9584329682172,"baseline"
2015-12-12,"0.1","calib","obs","wl",11.28,"baseline"
2015-12-13,"0.1","calib","mod","wl",10.9438286340457,"baseline"
2015-12-13,"0.1","calib","obs","wl",11.26,"baseline"
2015-12-14,"0.1","calib","mod","wl",10.9293163016614,"baseline"
2015-12-14,"0.1","calib","obs","wl",11.24,"baseline"
2015-12-15,"0.1","calib","mod","wl",10.9182999060715,"baseline"
2015-12-15,"0.1","calib","obs","wl",11.22,"baseline"
2015-12-16,"0.1","calib","mod","wl",10.9028031236084,"baseline"
2015-12-16,"0.1","calib","obs","wl",11.2,"baseline"
2015-12-17,"0.1","calib","mod","wl",10.9137603562995,"baseline"
2015-12-17,"0.1","calib","obs","wl",11.2166666666667,"baseline"
2015-12-18,"0.1","calib","mod","wl",10.9423792922776,"baseline"
2015-12-18,"0.1","calib","obs","wl",11.2333333333333,"baseline"
2015-12-19,"0.1","calib","mod","wl",10.9505656924819,"baseline"
2015-12-19,"0.1","calib","obs","wl",11.25,"baseline"
2015-12-20,"0.1","calib","mod","wl",10.9586926555394,"baseline"
2015-12-20,"0.1","calib","obs","wl",11.2666666666667,"baseline"
2015-12-21,"0.1","calib","mod","wl",10.9680755695505,"baseline"
2015-12-21,"0.1","calib","obs","wl",11.2833333333333,"baseline"
2015-12-22,"0.1","calib","mod","wl",10.9792141854077,"baseline"
2015-12-22,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-23,"0.1","calib","mod","wl",10.9833741778736,"baseline"
2015-12-23,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-24,"0.1","calib","mod","wl",10.9961551989731,"baseline"
2015-12-24,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-25,"0.1","calib","mod","wl",11.0028259846764,"baseline"
2015-12-25,"0.1","calib","obs","wl",11.3,"baseline"
2015-12-26,"0.1","calib","mod","wl",11.0017578500217,"baseline"
