DateTime,Rch4ox,Kch4ox,vTch4ox,Fsed_ch4,Fsed_ch4.1,Ksed_ch4,theta_sed_ch4,RMSE
2021-04-20 10:03:23,5,5,0.9,300,300,0.001,1.15,120.829599738311
2021-04-20 10:02:58,1e-04,5,0.9,300,300,100,0.85,34973.5063255194
2021-04-20 10:02:32,1e-04,1e-04,0.9,0.001,0.001,100,1.15,120.925915079595
2021-04-20 10:02:06,5,5,0.9,300,0.001,100,1.15,1227.64175255126
2021-04-20 10:01:40,5,1e-04,1.2,300,300,100,1.15,107.27234706723
2021-04-20 10:01:15,1e-04,1e-04,0.9,300,300,0.001,0.85,219.663362027147
2021-04-20 10:00:49,1e-04,1e-04,0.9,300,0.001,0.001,1.15,120.620803262523
2021-04-20 10:00:23,1e-04,1e-04,0.9,0.001,0.001,0.001,0.85,120.927868256827
2021-04-20 09:59:57,5,1e-04,1.2,300,300,100,0.85,18555.878846787
2021-04-20 09:59:31,1e-04,1e-04,1.2,300,300,100,0.85,32576.525931105
2021-04-20 09:59:05,5,5,1.2,0.001,0.001,100,0.85,120.874228043311
2021-04-20 09:58:39,1e-04,5,0.9,0.001,0.001,0.001,0.85,120.929190223218
2021-04-20 09:58:13,5,5,1.2,300,0.001,100,0.85,45311.7399351858
2021-04-20 09:57:47,5,1e-04,1.2,0.001,300,0.001,0.85,120.937194249323
2021-04-20 09:57:21,5,5,1.2,300,300,0.001,0.85,41028.4102470019
2021-04-20 09:56:57,1e-04,1e-04,0.9,0.001,0.001,100,1.15,120.926316448595
2021-04-20 09:56:31,1e-04,1e-04,1.2,0.001,300,100,0.85,110.278746134724
2021-04-20 09:56:05,5,5,0.9,0.001,0.001,100,1.15,120.934850912212
2021-04-20 09:55:39,1e-04,1e-04,1.2,0.001,0.001,100,0.85,120.852430001084
2021-04-20 09:55:13,5,5,1.2,0.001,0.001,0.001,0.85,120.937181039954
