DateTime,Depth,surface_height
7/11/2017,10.2,10.2
7/12/2017,10.1,10.1
7/13/2017,10.1,10.1
7/14/2017,10,10
7/15/2017,10,10
7/16/2017,9.9,9.9
7/17/2017,9.9,9.9
7/18/2017,9.8,9.8
7/19/2017,9.8,9.8
7/20/2017,9.8,9.8
7/21/2017,9.8,9.8
7/22/2017,9.8,9.8
7/23/2017,9.8,9.8
7/24/2017,9.7,9.7
7/25/2017,9.7,9.7
7/26/2017,9.7,9.7
7/27/2017,9.7,9.7
7/28/2017,9.7,9.7
7/29/2017,9.7,9.7
7/30/2017,9.7,9.7
7/31/2017,9.7,9.7
8/1/2017,9.8,9.8
8/2/2017,9.8,9.8
8/3/2017,9.8,9.8
8/4/2017,9.8,9.8
8/5/2017,9.8,9.8
8/6/2017,9.8,9.8
8/7/2017,9.9,9.9
8/8/2017,9.9,9.9
8/9/2017,9.9,9.9
8/10/2017,9.9,9.9
8/11/2017,9.9,9.9
8/12/2017,9.9,9.9
8/13/2017,9.9,9.9
8/14/2017,9.9,9.9
8/15/2017,9.9,9.9
8/16/2017,9.9,9.9
8/17/2017,9.9,9.9
8/18/2017,9.9,9.9
8/19/2017,9.9,9.9
8/20/2017,9.9,9.9
8/21/2017,9.9,9.9
8/22/2017,10,10
8/23/2017,10,10
8/24/2017,10,10
8/25/2017,10,10
8/26/2017,10,10
8/27/2017,10,10
8/28/2017,10,10
8/29/2017,10,10
8/30/2017,10,10
8/31/2017,10,10
9/1/2017,10,10
9/2/2017,10,10
9/3/2017,10,10
9/4/2017,10,10
9/5/2017,10,10
9/6/2017,10,10
9/7/2017,10,10
9/8/2017,10,10
9/9/2017,10,10
9/10/2017,10,10
9/11/2017,10,10
9/12/2017,10,10
9/13/2017,10,10
9/14/2017,10,10
9/15/2017,10,10
9/16/2017,10,10
9/17/2017,10,10
9/18/2017,10.1,10.1
9/19/2017,10.1,10.1
9/20/2017,10.1,10.1
9/21/2017,10.1,10.1
9/22/2017,10.1,10.1
9/23/2017,10.1,10.1
9/24/2017,10.1,10.1
9/25/2017,10.1,10.1
9/26/2017,10.1,10.1
9/27/2017,10.1,10.1
9/28/2017,10.1,10.1
9/29/2017,10.1,10.1
9/30/2017,10.1,10.1
10/1/2017,10.1,10.1
10/2/2017,10.1,10.1
10/3/2017,10.1,10.1
10/4/2017,10.1,10.1
10/5/2017,10.1,10.1
10/6/2017,10.1,10.1
10/7/2017,10.1,10.1
10/8/2017,10.1,10.1
10/9/2017,10.1,10.1
10/10/2017,10.2,10.2
10/11/2017,10.2,10.2
10/12/2017,10.2,10.2
10/13/2017,10.2,10.2
10/14/2017,10.2,10.2
10/15/2017,10.2,10.2
10/16/2017,10.2,10.2
10/17/2017,10.2,10.2
10/18/2017,10.2,10.2
10/19/2017,10.2,10.2
10/20/2017,10.2,10.2
10/21/2017,10.2,10.2
10/22/2017,10.2,10.2
10/23/2017,10.2,10.2
10/24/2017,10.3,10.3
10/25/2017,10.3,10.3
10/26/2017,10.3,10.3
10/27/2017,10.3,10.3
10/28/2017,10.3,10.3
10/29/2017,10.3,10.3
10/30/2017,10.3,10.3
10/31/2017,10.3,10.3
11/1/2017,10.3,10.3
11/2/2017,10.3,10.3
11/3/2017,10.3,10.3
11/4/2017,10.3,10.3
11/5/2017,10.3,10.3
11/5/2017,10.3,10.3
11/6/2017,10.3,10.3
11/7/2017,10.3,10.3
11/8/2017,10.3,10.3
11/9/2017,10.3,10.3
11/10/2017,10.3,10.3
11/11/2017,10.3,10.3
11/12/2017,10.3,10.3
11/13/2017,10.3,10.3
11/14/2017,10.3,10.3
11/15/2017,10.3,10.3
11/16/2017,10.3,10.3
11/17/2017,10.3,10.3
11/18/2017,10.3,10.3
